Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
181,Madagascar,542063846,193595521,0.35714523746341126,348468325,0.6428547625365887,2005
182,World War Z,540007876,202359711,0.37473473997997764,337648165,0.6252652600200224,2013
183,Brave,538983207,237283207,0.4402423005360907,301700000,0.5597576994639093,2012
184,The Simpsons Movie,536414270,183135014,0.34140593239624295,353279256,0.658594067603757,2007
185,The Revenant,532950503,183637894,0.34456838480552104,349312609,0.6554316151944789,2015
186,The Meg,530243742,145443742,0.2742960085703378,384800000,0.7257039914296621,2018
187,Ralph Breaks the Internet,529323962,201091711,0.3799029052835511,328232251,0.6200970947164489,2018
188,"Monsters, Inc.",528773250,255873250,0.48389976232723575,272900000,0.5161002376727643,2001
189,Hotel Transylvania 3: Summer Vacation,528583774,167510016,0.31690343941583043,361073758,0.6830965605841696,2018
190,The Boss Baby,527965936,175003033,0.331466522870521,352962903,0.6685334771294791,2017
191,Dunkirk,525245546,188045546,0.3580145465907482,337200000,0.6419854534092517,2017
192,Godzilla,524976069,200676069,0.38225755582013016,324300000,0.6177424441798699,2014
193,Sherlock Holmes,524028679,209028679,0.39888786125005193,315000000,0.6011121387499481,2009
194,Meet the Fockers,522657936,279261160,0.5343096139269183,243396776,0.46569038607308166,2004
195,How to Train Your Dragon: The Hidden World,521799505,160799505,0.3081633912243746,361000000,0.6918366087756255,2019
196,WALL·E,521311860,223808164,0.4293172305728859,297503696,0.5706827694271142,2008
197,Kung Fu Panda 3,521170825,143528619,0.2753964959569638,377642206,0.7246035040430362,2016
198,Ant-Man,519311965,180202163,0.3470017545234106,339109802,0.6529982454765894,2015
199,The Grinch,511595957,270620950,0.5289739809261237,240975007,0.4710260190738763,2018
200,Rio 2,498781117,131538435,0.2637197570572825,367242682,0.7362802429427175,2014
201,Troy,497409852,133378256,0.268145585504004,364031596,0.731854414495996,2004
202,How to Train Your Dragon,494878759,217581231,0.4396657303289107,277297528,0.5603342696710892,2010
203,Oz the Great and Powerful,493311825,234911825,0.47619337930932426,258400000,0.5238066206906757,2013
204,Clash of the Titans,493214993,163214888,0.33092037005452507,330000105,0.6690796299454749,2010
205,Maleficent: Mistress of Evil,491730089,113929605,0.23169134358178353,377800484,0.7683086564182164,2019
206,War for the Planet of the Apes,490719763,146880162,0.2993157665019495,343839601,0.7006842334980505,2017
207,Mr. & Mrs. Smith,487287646,186336279,0.38239483502112015,300951367,0.6176051649788799,2005
208,Angels & Demons,485930816,133375846,0.2744749697043293,352554970,0.7255250302956707,2009
209,Teenage Mutant Ninja Turtles,485004754,191204754,0.39423274189184543,293800000,0.6057672581081546,2014
210,Bruce Almighty,484592874,242829261,0.5010995291688916,241763613,0.49890047083110844,2003
211,Shrek,484409218,267665011,0.5525596975737155,216744207,0.4474403024262845,2001
212,Rio,483866518,143619809,0.29681700150205476,340246709,0.7031829984979453,2011
213,Rise of the Planet of the Apes,481800873,176760185,0.3668739408863628,305040688,0.6331260591136372,2011
214,Charlie and the Chocolate Factory,474968763,206459076,0.43467927173981336,268509687,0.5653207282601866,2005
215,Hotel Transylvania 2,474800000,169700110,0.3574138795282224,305099890,0.6425861204717775,2015
216,San Andreas,473990832,155190832,0.32741315131597315,318800000,0.6725868486840269,2015
217,It Chapter Two,473093228,211593228,0.44725482310222375,261500000,0.5527451768977762,2019
218,Wreck-It Ralph,471222889,189422889,0.40198151113156133,281800000,0.5980184888684387,2012
219,The Hangover,468812793,277322503,0.5915420977003928,191490290,0.40845790229960727,2009
220,The Lego Movie,468060692,257760692,0.5506992926464331,210300000,0.44930070735356686,2014
221,Bumblebee,467989645,127195589,0.2717914602576303,340794056,0.7282085397423698,2018
222,Godzilla vs. Kong,467863133,100563133,0.21494134909749343,367300000,0.7850586509025066,2021
223,Star Trek Into Darkness,467365246,228778661,0.4895072172311246,238586585,0.5104927827688753,2013
224,Cars,461983149,244082982,0.5283374134496841,217900167,0.47166258655031595,2006
225,The Eight Hundred,461421559,372755,0.0008078404502985089,461048804,0.9991921595497015,2020
226,Gladiator,460583960,187705427,0.4075379155626696,272878533,0.5924620844373304,2000
227,X-Men: The Last Stand,460435291,234362462,0.5090019522417538,226072829,0.49099804775824624,2006
228,National Treasure: Book of Secrets,459242249,219964115,0.47897186175481865,239278134,0.5210281382451813,2007
229,Lucy,458863600,126663600,0.27603758502526676,332200000,0.7239624149747332,2014
230,300,456068181,210614939,0.4618058171438187,245453242,0.5381941828561814,2007
231,The Last Samurai,454627263,111127263,0.24443598535356645,343500000,0.7555640146464335,2003
232,Demon Slayer: Mugen Train,452974619,47700000,0.10530391328614375,405274619,0.8946960867138563,2020
233,Dying to Survive,451176639,0,0.0,451176639,1.0,2018
234,Ocean's Eleven,450717150,183417150,0.4069451317749946,267300000,0.5930548682250054,2001
235,"My People, My Country",450064993,2356683,0.005236317057878794,447708310,0.9947636829421213,2019
236,Thor,449326618,181030624,0.40289316668081304,268295994,0.597106833319187,2011
237,Pearl Harbor,449220945,198542554,0.44197083018914,250678391,0.55802916981086,2001
238,La La Land,447407695,151101803,0.3377273227274287,296305892,0.6622726772725712,2016
239,The Bourne Ultimatum,444100035,227471070,0.5122068274549899,216628965,0.48779317254501003,2007
240,Alvin and the Chipmunks: The Squeakquel,443140005,219614612,0.4955874205038202,223525393,0.5044125794961798,2009
241,Men in Black II,441818803,190418803,0.43098845433248795,251400000,0.569011545667512,2002
242,Les Misérables,441809770,148809770,0.33681864934765926,293000000,0.6631813506523407,2012
243,Terminator Genisys,440603537,89760956,0.20372273134974855,350842581,0.7962772686502514,2015
244,Warcraft,439048914,47365290,0.10788157877097038,391683624,0.8921184212290296,2016
245,A Star Is Born,436188866,215288866,0.4935679995096436,220900000,0.5064320004903564,2018
246,The Greatest Showman,434993183,174340174,0.4007882900546513,260653009,0.5992117099453488,2017
247,Terminator 3: Rise of the Machines,433371112,150371112,0.34698000821060726,283000000,0.6530199917893927,2003
248,The Mummy Returns,433013274,202019785,0.46654409259518453,230993489,0.5334559074048155,2001
249,Pokémon Detective Pikachu,433005346,144105346,0.3328026947731957,288900000,0.6671973052268043,2019
250,Die Another Day,431971116,160942139,0.37257615854111875,271028977,0.6274238414588812,2002
251,The Secret Life of Pets 2,430051293,158874395,0.36943126921374003,271176898,0.63056873078626,2019
252,Cast Away,429632142,233632142,0.5437957712204875,196000000,0.4562042287795125,2000
